Wed Jun  5 13:58:13 2013, (0 clock):	Start log file
Wed Jun  5 13:58:13 2013, (0 clock):	Parameters loaded.
Wed Jun  5 13:58:13 2013, (0 clock):	controls:
  bounds:
    - 400
    - 0
  fixedElevationChange: 2
state:
  dimensions:
    - 51
    - 51
  cell:
    area: 1
    width: 1000
    length: 1000
  initial:
    filename: demRect.data
    sourceType: PYRAMID
constrain:
  massVariationTolerance: 0.01
  massConstrainEnabled: true
hydrologicalParameters:
  runoffCoeff: 1
  rainfallExcess: 10
objective:
  drainedAreaThreshold: 4
  types:
    - TEE
    - EEL
    - EE
    - EEE
interpolator:
  type: IDW
  parameters:
    - 5
    - 15
    - 2
Wed Jun  5 14:10:36 2013, (696410000 clock):	185000 evaluated; 0 wrong controls; 185000 violate mass constrain.
Wed Jun  5 14:10:40 2013, (700290000 clock):	186000 evaluated; 0 wrong controls; 186000 violate mass constrain.
Wed Jun  5 14:10:44 2013, (704120000 clock):	187000 evaluated; 0 wrong controls; 187000 violate mass constrain.
Wed Jun  5 14:10:48 2013, (707860000 clock):	188000 evaluated; 0 wrong controls; 188000 violate mass constrain.
Wed Jun  5 14:10:52 2013, (711710000 clock):	189000 evaluated; 0 wrong controls; 189000 violate mass constrain.
Wed Jun  5 14:10:56 2013, (715440000 clock):	190000 evaluated; 0 wrong controls; 190000 violate mass constrain.
Wed Jun  5 14:11:00 2013, (719150000 clock):	191000 evaluated; 0 wrong controls; 191000 violate mass constrain.
Wed Jun  5 14:11:04 2013, (723000000 clock):	192000 evaluated; 0 wrong controls; 192000 violate mass constrain.
Wed Jun  5 14:11:08 2013, (726710000 clock):	193000 evaluated; 0 wrong controls; 193000 violate mass constrain.
Wed Jun  5 14:11:12 2013, (730400000 clock):	194000 evaluated; 0 wrong controls; 194000 violate mass constrain.
Wed Jun  5 14:11:16 2013, (734100000 clock):	195000 evaluated; 0 wrong controls; 195000 violate mass constrain.
Wed Jun  5 14:11:20 2013, (737890000 clock):	196000 evaluated; 0 wrong controls; 196000 violate mass constrain.
Wed Jun  5 14:11:24 2013, (741670000 clock):	197000 evaluated; 0 wrong controls; 197000 violate mass constrain.
Wed Jun  5 14:11:28 2013, (745360000 clock):	198000 evaluated; 0 wrong controls; 198000 violate mass constrain.
Wed Jun  5 14:11:32 2013, (749170000 clock):	199000 evaluated; 0 wrong controls; 199000 violate mass constrain.
