Tue Jun 11 16:30:02 2013, (0 clock):	Start log file
Tue Jun 11 16:30:02 2013, (0 clock):	Parameters loaded.
Tue Jun 11 16:30:02 2013, (0 clock):	controls:
  bounds:
    - 200
    - 0
  fixedElevationChange: 2
state:
  dimensions:
    - 51
    - 51
  cell:
    width: 1000
    length: 1000
    area: 1
  initial:
    sourceType: PYRAMID
    filename: demRect.data
constrain:
  massVariationTolerance: 0.01
  massConstrainEnabled: true
hydrologicalParameters:
  runoffCoeff: 1
  rainfallExcess: 10
interpolator:
  type: IDW
  parameters:
    - 5
    - 15
    - 2
objective:
  drainedAreaThreshold: 4
  types:
    - TEE
    - EEL
    - EE
    - EEE
Tue Jun 11 17:02:52 2013, (1776190000 clock):	169000 evaluated; 0 wrong controls; 117142 violate mass constrain.
Tue Jun 11 17:03:06 2013, (1787180000 clock):	170000 evaluated; 0 wrong controls; 117824 violate mass constrain.
Tue Jun 11 17:03:15 2013, (1796720000 clock):	171000 evaluated; 0 wrong controls; 118508 violate mass constrain.
Tue Jun 11 17:03:31 2013, (1809350000 clock):	172000 evaluated; 0 wrong controls; 119173 violate mass constrain.
Tue Jun 11 17:03:42 2013, (1820390000 clock):	173000 evaluated; 0 wrong controls; 119877 violate mass constrain.
Tue Jun 11 17:03:55 2013, (1830140000 clock):	174000 evaluated; 0 wrong controls; 120582 violate mass constrain.
Tue Jun 11 17:04:06 2013, (1840740000 clock):	175000 evaluated; 0 wrong controls; 121257 violate mass constrain.
Tue Jun 11 17:04:16 2013, (1851170000 clock):	176000 evaluated; 0 wrong controls; 121932 violate mass constrain.
Tue Jun 11 17:04:30 2013, (1861570000 clock):	177000 evaluated; 0 wrong controls; 122638 violate mass constrain.
Tue Jun 11 17:04:40 2013, (1871570000 clock):	178000 evaluated; 0 wrong controls; 123291 violate mass constrain.
Tue Jun 11 17:04:53 2013, (1881480000 clock):	179000 evaluated; 0 wrong controls; 123999 violate mass constrain.
Tue Jun 11 17:05:04 2013, (1892140000 clock):	180000 evaluated; 0 wrong controls; 124670 violate mass constrain.
Tue Jun 11 17:05:18 2013, (1902820000 clock):	181000 evaluated; 0 wrong controls; 125349 violate mass constrain.
Tue Jun 11 17:05:28 2013, (1912920000 clock):	182000 evaluated; 0 wrong controls; 126064 violate mass constrain.
Tue Jun 11 17:05:41 2013, (1922110000 clock):	183000 evaluated; 0 wrong controls; 126793 violate mass constrain.
Tue Jun 11 17:05:52 2013, (1932910000 clock):	184000 evaluated; 0 wrong controls; 127483 violate mass constrain.
Tue Jun 11 17:06:06 2013, (1943050000 clock):	185000 evaluated; 0 wrong controls; 128142 violate mass constrain.
Tue Jun 11 17:06:15 2013, (1952740000 clock):	186000 evaluated; 0 wrong controls; 128839 violate mass constrain.
Tue Jun 11 17:06:26 2013, (1963440000 clock):	187000 evaluated; 0 wrong controls; 129537 violate mass constrain.
Tue Jun 11 17:06:41 2013, (1974600000 clock):	188000 evaluated; 0 wrong controls; 130191 violate mass constrain.
Tue Jun 11 17:06:51 2013, (1983950000 clock):	189000 evaluated; 0 wrong controls; 130904 violate mass constrain.
Tue Jun 11 17:07:06 2013, (1995820000 clock):	190000 evaluated; 0 wrong controls; 131602 violate mass constrain.
Tue Jun 11 17:07:16 2013, (2005940000 clock):	191000 evaluated; 0 wrong controls; 132293 violate mass constrain.
Tue Jun 11 17:07:31 2013, (2017100000 clock):	192000 evaluated; 0 wrong controls; 132995 violate mass constrain.
Tue Jun 11 17:07:42 2013, (2027750000 clock):	193000 evaluated; 0 wrong controls; 133698 violate mass constrain.
Tue Jun 11 17:07:56 2013, (2038640000 clock):	194000 evaluated; 0 wrong controls; 134354 violate mass constrain.
Tue Jun 11 17:08:06 2013, (2048700000 clock):	195000 evaluated; 0 wrong controls; 135041 violate mass constrain.
Tue Jun 11 17:08:19 2013, (2061360000 clock):	196000 evaluated; 0 wrong controls; 135707 violate mass constrain.
Tue Jun 11 17:08:34 2013, (2073370000 clock):	197000 evaluated; 0 wrong controls; 136388 violate mass constrain.
Tue Jun 11 17:08:45 2013, (2083890000 clock):	198000 evaluated; 0 wrong controls; 137064 violate mass constrain.
Tue Jun 11 17:09:00 2013, (2095060000 clock):	199000 evaluated; 0 wrong controls; 137783 violate mass constrain.
Tue Jun 11 17:09:09 2013, (2104330000 clock):	200000 evaluated; 0 wrong controls; 138477 violate mass constrain.
