Sat Jul  6 09:28:11 2013, (0 clock):	Start log file
Sat Jul  6 09:28:11 2013, (0 clock):	Parameters loaded.
Sat Jul  6 09:28:11 2013, (0 clock):	controls:
  bounds:
    - 200
    - -200
  fixedElevationChange: 2
state:
  dimensions:
    - 51
    - 51
  cell:
    width: 1000
    area: 1
    length: 1000
  initial:
    filename: demRect.data
    sourceType: PYRAMID
objective:
  types:
    - TEE
    - SH
  drainedAreaThreshold: 4
hydrologicalParameters:
  runoffCoeff: 1
  rainfallExcess: 10
constrain:
  massConstrainEnabled: true
  massVariationTolerance: 0.01
interpolator:
  parameters:
    - 3
    - 4
  type: IDW-CONTROLS
Sat Jul  6 09:28:11 2013, (0 clock):	Base DEM: TEE = 9.78317e+06, SH = 0, 
Sat Jul  6 13:24:43 2013, (14104370000 clock):	179000 evaluated; 0 wrong controls; 11003 violate mass constrain.
Sat Jul  6 13:26:04 2013, (14184950000 clock):	180000 evaluated; 0 wrong controls; 11003 violate mass constrain.
Sat Jul  6 13:27:23 2013, (14263760000 clock):	181000 evaluated; 0 wrong controls; 11003 violate mass constrain.
Sat Jul  6 13:28:41 2013, (14341710000 clock):	182000 evaluated; 0 wrong controls; 11003 violate mass constrain.
Sat Jul  6 13:30:01 2013, (14420770000 clock):	183000 evaluated; 0 wrong controls; 11003 violate mass constrain.
Sat Jul  6 13:31:19 2013, (14498480000 clock):	184000 evaluated; 0 wrong controls; 11003 violate mass constrain.
Sat Jul  6 13:32:39 2013, (14577500000 clock):	185000 evaluated; 0 wrong controls; 11003 violate mass constrain.
Sat Jul  6 13:33:58 2013, (14656510000 clock):	186000 evaluated; 0 wrong controls; 11003 violate mass constrain.
Sat Jul  6 13:35:15 2013, (14732690000 clock):	187000 evaluated; 0 wrong controls; 11139 violate mass constrain.
Sat Jul  6 13:36:27 2013, (14804410000 clock):	188000 evaluated; 0 wrong controls; 11554 violate mass constrain.
Sat Jul  6 13:37:44 2013, (14881130000 clock):	189000 evaluated; 0 wrong controls; 11649 violate mass constrain.
Sat Jul  6 13:39:03 2013, (14959820000 clock):	190000 evaluated; 0 wrong controls; 11649 violate mass constrain.
Sat Jul  6 13:40:22 2013, (15038480000 clock):	191000 evaluated; 0 wrong controls; 11650 violate mass constrain.
Sat Jul  6 13:41:42 2013, (15117360000 clock):	192000 evaluated; 0 wrong controls; 11650 violate mass constrain.
Sat Jul  6 13:43:00 2013, (15195840000 clock):	193000 evaluated; 0 wrong controls; 11650 violate mass constrain.
Sat Jul  6 13:44:20 2013, (15275200000 clock):	194000 evaluated; 0 wrong controls; 11650 violate mass constrain.
Sat Jul  6 13:45:40 2013, (15354110000 clock):	195000 evaluated; 0 wrong controls; 11650 violate mass constrain.
